latin_species,n
Corvus caurinus,3
Corvus corax,11
Corvus cornix,5
Corvus corone,9
Corvus coronoides,2
Corvus crptoleucus,1
Corvus cryptoleucus,2
Corvus frugilegus,8
Corvus imparatus,3
Corvus japonensis,1
Corvus mellori,1
Corvus Mellori,1
Corvus monedul,1
Corvus monedula,10
Corvus orru,2
Corvus ossifragus,3
Corvus splendens,4
Corvus tasmanicus,2
Corythaixoides concolor,1
Cossypha heuglini,1
Cossypha humeralis,1
Cossypha natalensis,1
Cotinga amabilis,1
Cotunix pectoralis,1
Coturnicops noveboracensis,3
Coturnix australis,1
Coturnix chinensis,3
Coturnix coturnix,6
Coturnix delegorguei,1
Coturnix pectoralis,1
Coturnix ypsilophora,1
Coumba palumbas,1
Cracticus mentalis,2
Cracticus nigrogularis,2
Cracticus quoyi,2
Cracticus torquatus,2
Crateroscelis gutturalis,1
Crax rubra,1
Crecopsis egregia,1
Crex crex,9
Crithagra gularis,1
Crithagra mozambica,1
Crotophaga ani,2
Crotophaga sulcirostris,4
Crypturellus boucardi,1
Crypturellus cinnamomeus,1
Crypturellus soui,1
Cuculus canorus,11
Cuculus castaneiventris,1
Cuculus clamosus,1
Cuculus flabelliformis,1
Cuculus gularis,1
Cuculus optatus,1
Cuculus pallidus,2
Cuculus saturatus,3
Cuculus solitarius,1
Cuculus variolosus,1
Culicicapa ceylonensis,1
Cursorius cursor,2
Cyanerpes cyaneus,2
Cyanistes caeruleus,4
Cyanocitta cristata,4
Cyanocitta stelleri,4
Cyanocompsa cyanoides,1
Cyanocompsa parellina,3
Cyanocorax dickeyi,1
Cyanocorax yncas,4
Cyanolyca cucullata,1
Cyanolyca nana,1
Cyanolyca pumilo,1
Cyanopica cyana,1
Cyanopica cyanus,1
Cyclarhis gujanensis,1
Cyclopsitta diophthalma,2
Cygnus atratus,1
Cygnus bewickii,2
Cygnus buccinator,3
Cygnus columbianus,8
Cygnus cygnus,8
Cygnus olor,14
Cynanthus latirostris,4
Cyornis concretus,1
Cypseloides niger,3
Cyrtonyx montezumae,4
Dacelo leachii,2
Dacelo novaeguineae,2
Dactylortyx thoracicus,1
Daphoenositta chrysoptera,6
Daption capense,1
Daptrius americanus,1
Dasyornis brachypterus,1
Dasyornis brachypteus,1
Dasyornis broadbenti,2
Dasyornis longirostris,2
Delichon urbica,7
Delichon urbicum,4
Deltarhynchus flammulatus,1
Dendragapus fuliginosus,3
Dendragapus obscurus,3
Dendrocincla anabatina,1
Dendrocincla homochroa,1
Dendrocitta vagabunda,1
Dendrocolaptes certhia,1
Dendrocopos arizonae,1
Dendrocopos leucotos,1
Dendrocopos major,9
Dendrocopos medius,1
Dendrocopos minor,5
Dendrocopos scalaris,1
Dendrocopos syriacus,1
Dendrocopus major,1
Dendrocopus minor,1
Dendrocygna arcuata,1
Dendrocygna autumnalis,3
Dendrocygna bicolor,3
Dendrocygna eytoni,1
Dendrocygna guttata,1
Dendrocygna viduata,1
Dendroica petechia,1
Dendroopos minor,1
Dendroperdix sephaena,1
Dendropicos fuscescens,1
Dendropicos namaquus,1
Denrocygna arcuata,1
Dicaeum hirundinaceum,2
Dicrurus bracteatus,2
Dicrurus hottentotus,1
Dicrurus paradiseus,1
Diomedea bulleri,1
Diomedea cauta,1
Diomedea chlororhynchos,1
Diomedea chrysostoma,1
Diomedea ephomophora,1
Diomedea epomophora,1
Diomedea exulans,2
Diomedea immutabilis,1
Diomedea melanophris,1
Dives dives,1
Dolichonyx oryzivorous,1
Dolichonyx oryzivorus,4
Dromaius novaehollandiae,1
Dromococcyx phasianellus,1
Drymodes brunneopygia,2
Drymodes superciliaris,2
Dryobates albolarvatus,1
Dryobates arizonae,1
Dryobates borealis,1
Dryobates nuttallii,1
Dryobates pubescens,1
Dryobates scalaris,1
Dryobates villosus,1
Dryocopus lineatus,1
Dryocopus martius,3
Dryocopus pileatus,4
Dryolimnas pectoralis,1
Dryonastes chinensis,1
Dryonastes galbanus,1
Dryoscopus cubla,1
Ducula aenea,1
Ducula bicolor,2
Ducula concinna,1
Ducula mullerii,2
Dumetella carolinensis,3
Dysithamnus mentalis,1
Eclectus roratus,2
Egrebt Bubulcus coromandus,1
Egretta caerulea,3
Egretta garzetta,8
Egretta gularis,1
Egretta rufescens,3
Egretta thula,4
Egretta tricolor,3
Elaenia albiceps,1
Elaenia flavogaster,1
Elaenia frantzii,1
Elaenia martinica,1
Elanoides forficatus,3
Elanus axillaris,1
Elanus leucurus,3
Elanus notatus,1
Elanus scriptus,2
Electron carinatum,1
Elseyornis melanops,1
Emberiza aureola,3
Emberiza bruniceps,1
Emberiza caesia,2
Emberiza calandra,3
Emberiza chrysophrys,2
Emberiza cia,2
Emberiza cineracea,1
Emberiza cirlus,6
Emberiza citrinella,8
Emberiza elegans,1
Emberiza flaviventris,1
Emberiza hortulana,4
Emberiza impetuani,1
Emberiza lathami,1
Emberiza leucocephalos,3
Emberiza melanocephala,2
Emberiza pallasi,2
Emberiza pusilla,4
Emberiza rustica,4
Emberiza schoeniclus,9
Emberiza spodocephala,1
Emberiza tahapisi,1
Emberiza variabilis,1
Emblema pictum,2
Emipdonax flaviventris,1
Empidonax affinis,1
Empidonax albigularis,1
Empidonax alnorum,4
Empidonax difficilis,4
Empidonax flavescens,1
Empidonax flaviventris,3
Empidonax fulvifrons,4
Empidonax hammondii,3
Empidonax minimus,4
Empidonax oberholseri,3
Empidonax occidentalis,3
Empidonax traillii,4
Empidonax virescens,4
Empidonax wrightii,3
Empidonomus varius,2
Enicurus leschenaulti,1
Entomyzon cyanotis,2
Eopsaltria australis,2
Eopsaltria georgiana,2
Eopsaltria griseogularis,2
Eopsaltria pulverulenta,2
